chunk_id,source_type,document,model,prompt_type,question,answer,Correctness,Question_Relevance,Information_Coverage
1,return_policy,Apple,gemini-2.5-pro,baseline,What is the time frame for returning an undamaged product to the Apple Store?,An undamaged product can be returned within 14 days of the date you receive it.,,,
2,return_policy,Apple,gemini-2.5-pro,baseline,What form of compensation is offered for an item returned with a gift receipt?,Apple will offer an Apple Gift Card for items returned with a gift receipt.,,,
3,return_policy,Apple,gemini-2.5-pro,baseline,"What happens to your wireless service account if you return your iPhone, iPad, or Watch?",Returning your device may not automatically cancel or reset your wireless account; you are responsible for the wireless service agreement and any applicable fees.,,,
4,return_policy,Apple,gemini-2.5-pro,baseline,What happens if an iPhone requires repair due to an unauthorized software modification?,The repair will not be covered under the warranty.,,,
5,return_policy,Apple,gemini-2.5-pro,baseline,What happens if Apple cancels an order after you have already been billed?,Apple will refund the billed amount.,,,
6,return_policy,Apple,gemini-2.5-pro,baseline,What is required to pick up an in-store order?,A government-issued photo ID and an order number will be required for pickup.,,,
7,return_policy,Apple,gemini-2.5-pro,baseline,What is required for a third party to pick up an in-store order?,The third party must bring a government-issued photo ID and the order number.,,,
8,return_policy,Aritzia,gemini-2.5-pro,baseline,What is the time frame for receiving a full refund to the original method of payment for a regular-priced online purchase?,You can receive a full refund within fourteen days from the shipping date.,,,
9,return_policy,Aritzia,gemini-2.5-pro,baseline,What is the return policy for sale items marked at fifty percent off or greater?,"They are final sale, unless stated otherwise on the product page.",,,
10,return_policy,Aritzia,gemini-2.5-pro,baseline,What conditions must be met for an item to be eligible for a return or exchange?,"The item must not be washed, worn, or damaged, all original tags must be attached, and you must present a valid receipt or proof of purchase.",,,
11,syllabus,561,gemini-2.5-pro,baseline,Who is the instructor for the course ISE561-Economic Analysis of Engineering Projects?,The instructor is Dr. Shalini Gupta.,,,
12,syllabus,561,gemini-2.5-pro,baseline,What is the policy for using materials like books and notes during exams?,All exams are open-book and open-notes.,,,
13,syllabus,561,gemini-2.5-pro,baseline,What is the required length for the project report?,Each team must submit a 14-page report.,,,
14,syllabus,561,gemini-2.5-pro,baseline,What are the potential penalties for academic dishonesty?,"Academic dishonesty may result in severe penalties, including suspension and expulsion.",,,
15,syllabus,561,gemini-2.5-pro,baseline,What percentage of the final grade is the project worth?,The project is worth 25% of the final grade.,,,
16,syllabus,561,gemini-2.5-pro,baseline,What is the date of the first examination?,September 25th.,,,
17,syllabus,534,gemini-2.5-pro,baseline,Who is the instructor for the ISE 534 course?,The instructor is Saeed (SID) Mohasseb.,,,
18,syllabus,534,gemini-2.5-pro,baseline,What is the prerequisite course for ISE 534?,The prerequisite is ISE-529 Predictive Analytics.,,,
19,syllabus,534,gemini-2.5-pro,baseline,How are students graded on the Mid-term and Final exams?,"Students receive an individual grade, not a team grade.",,,
20,syllabus,534,gemini-2.5-pro,baseline,How are grades for the client project assigned to individual team members?,All team members will get the same grade based on the team’s performance.,,,
21,syllabus,534,gemini-2.5-pro,baseline,What percentage of the final grade is the Final Exam worth?,The Final Exam is worth 15.0% of the grade.,,,
22,syllabus,534,gemini-2.5-pro,baseline,"According to the course schedule, what is due on September 8th?","The project team selection must be finalized, and students should be ready for discussion on Articles #1, #2, and #3.",,,
23,syllabus,534,gemini-2.5-pro,baseline,What is the maximum length for the first project delivery report?,2 pages maximum.,,,
